╔══════════════════════════════════════════════════════════╗
║               HADES V19 — DB EXPORT                    ║
║  Generated : 2026-03-30 15:38:02                         ║
╚══════════════════════════════════════════════════════════╝

╔══════════════════════════════════════════════════════════╗
║  SUMMARY                                                 ║
╚══════════════════════════════════════════════════════════╝
  History rows   : 4246
  Pattern stats  : 416
  AI Laws total  : 1581  (active: 14)
  Learn sessions : 111
  Prediction acc : 50.4%  (733/1454 non-tie predicted)

╔══════════════════════════════════════════════════════════╗
║  PATTERN_STATS                                           ║
╚══════════════════════════════════════════════════════════╝
  PATTERN_ID                TYPE        RED   BLUE   TIE  BIAS%
  --------------------------------------------------------
  DIGIT_0                   DIGIT        17     22     2  +12.2% →🔵
  DIGIT_1                   DIGIT        19     20     3  +2.4%   =
  DIGIT_2                   DIGIT        19     14     2  -14.3% →🔴
  DIGIT_3                   DIGIT        19     21     0  +5.0%   =
  DIGIT_4                   DIGIT        21     21     1  +0.0%   =
  DIGIT_5                   DIGIT        18     17     1  -2.8%   =
  DIGIT_6                   DIGIT        14     18     1  +12.1% →🔵
  DIGIT_7                   DIGIT        15     16     0  +3.2%   =
  DIGIT_8                   DIGIT        15     16     2  +3.0%   =
  DIGIT_9                   DIGIT        15     24     1  +22.5% →🔵
  EXACT_♠️_10_0             EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_10_0             EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_10_1             EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_10_2             EXACT         1      1     0  +0.0%   =
  EXACT_♦️_10_2             EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_10_3             EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_10_4             EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_10_4             EXACT         0      1     1  +50.0% →🔵
  EXACT_♥️_10_4             EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_10_4             EXACT         1      1     0  +0.0%   =
  EXACT_♣️_10_5             EXACT         1      1     0  +0.0%   =
  EXACT_♥️_10_5             EXACT         1      1     0  +0.0%   =
  EXACT_♦️_10_5             EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_10_6             EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_10_6             EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_10_6             EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_10_6             EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_10_7             EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_10_7             EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_10_7             EXACT         1      1     0  +0.0%   =
  EXACT_♠️_10_8             EXACT         1      1     0  +0.0%   =
  EXACT_♣️_10_8             EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_10_8             EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_10_9             EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_10_9             EXACT         1      1     1  +0.0%   =
  EXACT_♥️_10_9             EXACT         1      1     0  +0.0%   =
  EXACT_♦️_10_9             EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_2_1              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_2_1              EXACT         0      2     0  +100.0% →🔵
  EXACT_♥️_2_1              EXACT         1      1     1  +0.0%   =
  EXACT_♦️_2_1              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_2_2              EXACT         2      1     0  -33.3% →🔴
  EXACT_♥️_2_2              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_2_2              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_2_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_2_3              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_2_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_2_3              EXACT         2      0     0  -100.0% →🔴
  EXACT_♣️_2_4              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_2_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_2_4              EXACT         2      0     0  -100.0% →🔴
  EXACT_♠️_2_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_2_5              EXACT         1      0     1  -50.0% →🔴
  EXACT_♥️_2_5              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_2_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_2_6              EXACT         1      3     0  +50.0% →🔵
  EXACT_♥️_2_6              EXACT         1      2     0  +33.3% →🔵
  EXACT_♦️_2_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_2_7              EXACT         2      1     0  -33.3% →🔴
  EXACT_♣️_2_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_2_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_2_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_2_8              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_2_8              EXACT         0      0     1  +0.0%   =
  EXACT_♦️_2_8              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_2_9              EXACT         1      1     0  +0.0%   =
  EXACT_♣️_3_0              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_3_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_3_1              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_3_1              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_3_1              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_3_1              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_3_2              EXACT         0      2     0  +100.0% →🔵
  EXACT_♦️_3_2              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_3_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_3_3              EXACT         2      2     0  +0.0%   =
  EXACT_♥️_3_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_3_3              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_3_4              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_3_4              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_3_5              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_3_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_3_5              EXACT         0      3     0  +100.0% →🔵
  EXACT_♠️_3_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_3_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_3_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_3_7              EXACT         2      0     0  -100.0% →🔴
  EXACT_♣️_3_7              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_3_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_3_8              EXACT         0      2     0  +100.0% →🔵
  EXACT_♥️_3_8              EXACT         0      1     0  +100.0% →🔵
  EXACT_♦️_3_8              EXACT         2      0     0  -100.0% →🔴
  EXACT_♠️_3_9              EXACT         1      0     0  -100.0% →🔴
  EXACT_♥️_3_9              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_3_9              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_4_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_4_0              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_4_0              EXACT         1      2     0  +33.3% →🔵
  EXACT_♦️_4_0              EXACT         1      0     0  -100.0% →🔴
  EXACT_♠️_4_1              EXACT         0      2     0  +100.0% →🔵
  EXACT_♣️_4_1              EXACT         2      0     0  -100.0% →🔴
  EXACT_♥️_4_1              EXACT         1      1     0  +0.0%   =
  EXACT_♦️_4_1              EXACT         2      2     0  +0.0%   =
  EXACT_♠️_4_2              EXACT         2      0     0  -100.0% →🔴
  EXACT_♣️_4_2              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_4_2              EXACT         0      1     0  +100.0% →🔵
  EXACT_♠️_4_3              EXACT         0      0     1  +0.0%   =
  EXACT_♣️_4_3              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_4_3              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_4_3              EXACT         0      3     0  +100.0% →🔵
  EXACT_♣️_4_4              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_4_4              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_4_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_4_5              EXACT         1      1     0  +0.0%   =
  EXACT_♥️_4_5              EXACT         1      0     0  -100.0% →🔴
  EXACT_♦️_4_5              EXACT         0      2     0  +100.0% →🔵
  EXACT_♠️_4_6              EXACT         0      1     0  +100.0% →🔵
  EXACT_♣️_4_6              EXACT         1      0     0  -100.0% →🔴
  EXACT_♣️_4_7              EXACT         0      1     0  +100.0% →🔵
  EXACT_♥️_4_7              EXACT         0      1     0  +100.0% →🔵
